ano,campus,curso,entradas_vest,entradas_sisu,entradas_provare,evasao_vest,evasao_sisu,evasao_provare,evasao_total,perc_vest,perc_sisu,perc_provare,perc_total
2023,CTOO,Serviço Social,8,3,29,0,0,1,1,0.0,0.0,3.45,2.5
2024,CCSC,Administração,33,21,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,Ciência da Computação,27,21,0,5,3,0,8,18.52,14.29,0.0,16.67
2024,CCSC,Ciências Biológicas,38,27,12,1,3,2,6,2.63,11.11,16.67,7.79
2024,CCSC,Ciências Contábeis,27,22,0,0,1,0,1,0.0,4.55,0.0,2.04
2024,CCSC,Ciências Econômicas,27,22,0,0,1,0,1,0.0,4.55,0.0,2.04
2024,CCSC,Enfermagem,26,13,0,1,0,0,1,3.85,0.0,0.0,2.56
2024,CCSC,Engenharia Agrícola,14,8,3,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,Engenharia Civil,23,20,0,0,2,0,2,0.0,10.0,0.0,4.65
2024,CCSC,Farmácia,21,20,1,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,Fisioterapia,25,20,0,2,1,0,3,8.0,5.0,0.0,6.67
2024,CCSC,Superior de Tecnologia em Gestão Pública,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,História,26,12,0,3,1,0,4,11.54,8.33,0.0,10.53
2024,CCSC,Letras - Língua Portuguesa e Língua Espanhola e Respectivas Literaturas,3,7,6,2,3,3,8,66.67,42.86,50.0,50.0
2024,CCSC,Letras - Língua Portuguesa e Língua Inglesa e Respectivas Literaturas,13,6,0,2,0,0,2,15.38,0.0,0.0,10.53
2024,CCSC,Letras - Língua Portuguesa e Língua Italiana e Respectivas Literaturas,2,4,8,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,Letras - Língua Portuguesa e Língua Brasileira de Sinais - Libras - Tradução e Interpretação,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,Letras - língua Portuguesa e Língua Brasileira de Sinais- Libras e Literaturas Brasileira e Surda.,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,Matemática,17,13,10,1,3,3,7,5.88,23.08,30.0,17.5
2024,CCSC,Medicina,26,20,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CCSC,Odontologia,25,20,0,2,2,0,4,8.0,10.0,0.0,8.89
2024,CCSC,Pedagogia,49,29,3,1,1,0,2,2.04,3.45,0.0,2.47
2024,CCSC,Tecnologia em Tradução e Interpretação em Libras - Tecnólogo,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CFOZ,Administração,24,18,0,1,0,0,1,4.17,0.0,0.0,2.38
2024,CFOZ,Ciência da Computação,29,19,0,1,5,0,6,3.45,26.32,0.0,12.5
2024,CFOZ,Ciências Contábeis,31,24,0,0,3,0,3,0.0,12.5,0.0,5.45
2024,CFOZ,Direito,25,20,0,0,2,0,2,0.0,10.0,0.0,4.44
2024,CFOZ,Enfermagem,17,20,3,0,0,0,0,0.0,0.0,0.0,0.0
2024,CFOZ,Engenharia Elétrica,15,15,10,0,1,1,2,0.0,6.67,10.0,5.0
2024,CFOZ,Engenharia Mecânica,17,11,12,0,1,0,1,0.0,9.09,0.0,2.5
2024,CFOZ,Hotelaria,2,3,22,1,3,11,15,50.0,100.0,50.0,55.56
2024,CFOZ,Letras - Língua Portuguesa e Língua Espanhola e Respectivas Literaturas,6,5,13,0,1,2,3,0.0,20.0,15.38,12.5
2024,CFOZ,Letras - Língua Portuguesa e Língua Inglesa e Respectivas Literaturas,14,9,0,3,0,0,3,21.43,0.0,0.0,13.04
2024,CFOZ,Matemática,3,6,16,0,0,3,3,0.0,0.0,18.75,12.0
2024,CFOZ,Pedagogia,28,17,0,1,0,0,1,3.57,0.0,0.0,2.22
2024,CFOZ,Turismo,11,10,19,0,0,1,1,0.0,0.0,5.26,2.5
2024,CFB,Administração,22,21,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CFB,Ciências Econômicas,24,27,2,0,0,0,0,0.0,0.0,0.0,0.0
2024,CFB,Direito,26,20,0,2,1,0,3,7.69,5.0,0.0,6.52
2024,CFB,Geografia,8,10,16,0,1,3,4,0.0,10.0,18.75,11.76
2024,CFB,Medicina,25,21,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CFB,Nutrição,20,8,5,0,1,1,2,0.0,12.5,20.0,6.06
2024,CFB,Pedagogia,27,26,30,0,2,3,5,0.0,7.69,10.0,6.02
2024,CFB,Serviço Social,11,8,17,0,0,1,1,0.0,0.0,5.88,2.78
2024,CMCR,Administração,27,12,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CMCR,Agronomia,25,15,0,5,3,0,8,20.0,20.0,0.0,20.0
2024,CMCR,Ciências Contábeis,22,17,5,1,1,0,2,4.55,5.88,0.0,4.55
2024,CMCR,Direito,26,21,0,3,1,0,4,11.54,4.76,0.0,8.51
2024,CMCR,Educação Física,42,19,15,1,0,0,1,2.38,0.0,0.0,1.32
2024,CMCR,Geografia,3,1,5,0,0,3,3,0.0,0.0,60.0,33.33
2024,CMCR,História,7,6,7,0,0,0,0,0.0,0.0,0.0,0.0
2024,CMCR,Letras - Língua Portuguesa e Respectivas Literaturas e Língua Alemã,1,0,1,0,0,1,1,0.0,0.0,100.0,50.0
2024,CMCR,Letras - Língua Portuguesa e Respectivas Literaturas e Língua Espanhola,1,2,6,0,0,0,0,0.0,0.0,0.0,0.0
2024,CMCR,Letras - Língua Portuguesa e Respetivas Literaturas e Língua Inglesa,4,6,8,0,3,1,4,0.0,50.0,12.5,22.22
2024,CMCR,Superior de Tecnologia em Tecnologias Educacionais com Ênfase em Humanidades,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,CMCR,Zootecnia,12,2,5,3,0,1,4,25.0,0.0,20.0,21.05
2024,CTOO,Superior de Tecnologia em Aquicultura,8,4,13,2,2,2,6,25.0,50.0,15.38,24.0
2024,CTOO,Ciências Econômicas,18,13,7,0,0,0,0,0.0,0.0,0.0,0.0
2024,CTOO,Ciências Sociais,7,5,16,3,0,9,12,42.86,0.0,56.25,42.86
2024,CTOO,Educação Especial Inclusiva,0,0,0,10,0,0,10,0.0,0.0,0.0,0.0
2024,CTOO,Engenharia de Pesca,0,0,1,0,0,1,1,0.0,0.0,100.0,100.0
2024,CTOO,Engenharia Química,18,6,3,6,0,0,6,33.33,0.0,0.0,22.22
2024,CTOO,Filosofia,6,4,25,0,2,9,11,0.0,50.0,36.0,31.43
2024,CTOO,Psicologia,25,23,0,0,3,0,3,0.0,13.04,0.0,6.25
2024,CTOO,Química,11,13,22,3,5,8,16,27.27,38.46,36.36,34.78
2024,CTOO,Secretariado Executivo Trilíngue,5,9,24,1,0,3,4,20.0,0.0,12.5,10.53
2024,CTOO,Serviço Social,9,7,24,1,0,8,9,11.11,0.0,33.33,22.5
2025,CCSC,Administração,28,17,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC,Ciência da Computação,21,11,2,1,0,0,1,4.76,0.0,0.0,2.94
2025,CCSC,Ciências Biológicas,45,18,10,2,1,1,4,4.44,5.56,10.0,5.48
2025,CCSC,Ciências Contábeis,24,14,0,0,0,0,0,0.0,0.0,0.0,0.0
